코드,지역명,분류,위도,경도
POI060,광장(전통)시장,발달상권,37.569817,127.000149
POI061,김포공항,발달상권,37.562289,126.802899
POI063,노량진,발달상권,37.513691,126.949071
POI064,덕수궁길·정동길,발달상권,37.565974,126.972445
POI066,북촌한옥마을,발달상권,37.584256,126.983861
POI067,서촌,발달상권,37.580188,126.966623
POI068,성수카페거리,발달상권,37.542277,127.055602
POI070,쌍문역,인구밀집지역,37.647693,127.032393
POI071,압구정로데오거리,발달상권,37.525604,127.040402
POI072,여의도,발달상권,37.525493,126.923389
POI073,연남동,발달상권,37.561427,126.924063
POI074,영등포 타임스퀘어,발달상권,37.516532,126.905239
POI076,용리단길,발달상권,37.531106,126.971474
POI077,이태원 앤틱가구거리,발달상권,37.531873,126.993434
POI078,인사동,발달상권,37.573996,126.986057
POI079,창동 신경제 중심지,발달상권,37.656168,127.053288
POI080,청담동 명품거리,발달상권,37.526455,127.043541
POI081,청량리 제기동 일대 전통시장,발달상권,37.579978,127.038279
POI082,해방촌·경리단길,발달상권,37.541438,126.988368
POI083,DDP(동대문디자인플라자),발달상권,37.566542,127.009931
POI084,DMC(디지털미디어시티),발달상권,37.577407,126.893669
POI085,강서한강공원,공원,37.585871,126.820025
POI086,고척돔,공원,37.497768,126.867133
POI087,광나루한강공원,공원,37.550866,127.123706
POI088,광화문광장,공원,37.575051,126.976807
POI089,국립중앙박물관·용산가족공원,공원,37.522021,126.982468
POI090,난지한강공원,공원,37.566317,126.8777
POI091,남산공원,공원,37.555071,126.99365
POI092,노들섬,공원,37.517557,126.958714
POI093,뚝섬한강공원,공원,37.528825,127.074607
POI094,망원한강공원,공원,37.554801,126.898237
POI095,반포한강공원,공원,37.510655,126.994575
POI096,북서울꿈의숲,공원,37.622735,127.040909
POI098,서리풀공원·몽마르뜨공원,공원,37.490221,127.001737
POI100,서울대공원,공원,37.428396,127.018638
POI101,서울숲공원,공원,37.544027,127.036731
POI102,아차산,공원,37.56307,127.100479
POI103,양화한강공원,공원,37.540297,126.899636
POI104,어린이대공원,공원,37.549571,127.082431
POI105,여의도한강공원,공원,37.528689,126.926276
POI106,월드컵공원,공원,37.566039,126.887402
POI107,응봉산,공원,37.547974,127.029046
POI108,이촌한강공원,공원,37.52139,126.963566
POI109,잠실종합운동장,공원,37.516107,127.072303
POI110,잠실한강공원,공원,37.519812,127.085074
POI111,잠원한강공원,공원,37.523362,127.013971
POI112,청계산,공원,37.443365,127.04697
POI114,북창동 먹자골목,발달상권,37.561816,126.977478
POI115,남대문시장,발달상권,37.559671,126.978544
POI116,익선동,발달상권,37.573693,126.988677
POI117,신정네거리역,인구밀집지역,37.520618,126.854038
POI118,잠실새내역,인구밀집지역,37.510826,127.084129
POI119,잠실역,인구밀집지역,37.511744,127.099093
POI120,잠실롯데타워·석촌호수,발달상권,37.51232,127.103657
POI121,송리단길·호수단길,발달상권,37.50767,127.103627
POI122,신촌 스타광장,발달상권,37.556455,126.936987
POI123,보라매공원,공원,37.493148,126.919275
POI124,서대문독립공원,공원,37.573446,126.956973
POI125,안양천,공원,37.519344,126.879273
POI126,여의서로,공원,37.531915,126.913813
POI127,올림픽공원,공원,37.521881,127.123681
POI128,홍제폭포,공원,37.580581,126.936894
POI129,송현녹지광장,공원,37.578156,126.98375
POI130,시의회 앞,인구밀집지역,37.567725,126.976707
POI131,숭례문,인구밀집지역,37.560277,126.975737
